brand,hotel,kg_co2_s
NOVOTEL,Novotel  London City South,0.02419605
NOVOTEL,Novotel  Leeds Centre,0.018812756
NOVOTEL,Novotel  Edinburgh Centre,0.026343101
NOVOTEL,Novotel  Milton Keynes,0.018234066
NOVOTEL,Novotel  London Greenwich,0.018023981
NOVOTEL,Novotel  London Excel,0.02508265
NOVOTEL,Novotel  Reading Centre,0.023379981
NOVOTEL,Novotel  Bristol Centre,0.017959944
NOVOTEL,Novotel  Cardiff Centre,0.027990447
NOVOTEL,Novotel  London Paddington,0.035911907
NOVOTEL,Novotel  Liverpool Centre,0.024009806
NOVOTEL,Novotel  Edinburgh Park,0.030011558
NOVOTEL,Novotel  London Brentford,0.028523869
NOVOTEL,Novotel  London Blackfriars,0.022196291
NOVOTEL,Novotel  London Wembley,0.016636158
PULLMAN,Pullman  London St Pancras,0.067686353
SOFITEL,Sofitel  London Saint James,0.046483709
